Imagen,Ruta,Alas,Puertas,Motores,Color
1025794.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,2,Gris
1340192.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Perla
0056978.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,3,Blanco
0698580.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,1,Perla
0450014.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Blanco
1042824.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,2,Blanco
0894380.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Blanco
1427680.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Perla
0817494.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,1,Blanco
0716386.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,2,Gris
0951982.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,3,Blanco
0731614.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Perla
0582363.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,1,Rojo
1082409.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,1,Gris
2031775.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,2,Perla
0950991.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Gris
0869722.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Perla
0979376.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Gris
1002439.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,2,Rojo
0864665.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Rojo
1207591.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,2,Gris
0582372.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,2,Gris
0729223.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,2,Rojo
1319365.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Gris
0548719.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,3,Gris
0577855.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,3,Gris
1423583.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,3,Blanco
1187431.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,3,Rojo
